time,setpoint,sensor,sinyal kendali
2024-08-25 17:55:47.530918,36.0,22.98,100
2024-08-25 17:55:47.745453,36.0,22.98,100
2024-08-25 17:55:47.955941,36.0,22.98,100
2024-08-25 17:55:48.163934,36.0,23.01,100
2024-08-25 17:55:48.372638,36.0,22.98,100
2024-08-25 17:55:48.579561,36.0,23.06,100
2024-08-25 17:55:48.792384,36.0,23.08,100
2024-08-25 17:55:48.992417,36.0,23.08,100
2024-08-25 17:55:49.198168,36.0,23.09,100
2024-08-25 17:55:49.410128,36.0,23.08,100
2024-08-25 17:55:49.613594,36.0,23.12,100
2024-08-25 17:55:49.816549,36.0,23.09,100
2024-08-25 17:55:50.022639,36.0,23.09,100
2024-08-25 17:55:50.230795,36.0,23.09,100
2024-08-25 17:55:50.444258,36.0,23.09,100
2024-08-25 17:55:50.649458,36.0,23.09,100
2024-08-25 17:55:50.863719,36.0,23.09,100
2024-08-25 17:55:51.071555,36.0,23.1,100
2024-08-25 17:55:51.279708,36.0,23.14,100
2024-08-25 17:55:51.479499,36.0,23.16,100
2024-08-25 17:55:51.686982,36.0,23.17,100
2024-08-25 17:55:51.889505,36.0,23.14,100
2024-08-25 17:55:52.092745,36.0,23.12,100
2024-08-25 17:55:52.295609,36.0,23.2,100
2024-08-25 17:55:52.505845,36.0,23.21,100
2024-08-25 17:55:52.723767,36.0,23.21,100
2024-08-25 17:55:52.929586,36.0,23.21,100
2024-08-25 17:55:53.138549,36.0,23.21,100
2024-08-25 17:55:53.356450,36.0,23.21,100
2024-08-25 17:55:53.562507,36.0,23.21,100
2024-08-25 17:55:53.765630,36.0,23.21,100
2024-08-25 17:55:53.972510,36.0,23.21,100
2024-08-25 17:55:54.181052,36.0,23.24,100
2024-08-25 17:55:54.396936,36.0,23.3,100
2024-08-25 17:55:54.605315,36.0,23.23,100
2024-08-25 17:55:54.813124,36.0,23.32,100
2024-08-25 17:55:55.021613,36.0,23.32,100
2024-08-25 17:55:55.227406,36.0,23.32,100
2024-08-25 17:55:55.431550,36.0,23.32,100
2024-08-25 17:55:55.633097,36.0,23.32,100
2024-08-25 17:55:55.844601,36.0,23.32,100
2024-08-25 17:55:56.045757,36.0,23.32,100
2024-08-25 17:55:56.253004,36.0,23.32,100
2024-08-25 17:55:56.457397,36.0,23.43,100
2024-08-25 17:55:56.661342,36.0,23.44,100
2024-08-25 17:55:56.860943,36.0,23.44,100
2024-08-25 17:55:57.068941,36.0,23.49,100
2024-08-25 17:55:57.269388,36.0,23.55,100
2024-08-25 17:55:57.474090,36.0,23.6,100
2024-08-25 17:55:57.676805,36.0,23.67,100
2024-08-25 17:55:57.879498,36.0,23.67,100
2024-08-25 17:55:58.088215,36.0,23.71,100
2024-08-25 17:55:58.294948,36.0,23.77,100
2024-08-25 17:55:58.497763,36.0,23.79,100
2024-08-25 17:55:58.700106,36.0,23.79,100
2024-08-25 17:55:58.913857,36.0,23.89,100
2024-08-25 17:55:59.117186,36.0,23.9,100
2024-08-25 17:55:59.318872,36.0,24.0,100
2024-08-25 17:55:59.524384,36.0,24.02,100
2024-08-25 17:55:59.728916,36.0,24.02,100
2024-08-25 17:55:59.931179,36.0,24.11,100
2024-08-25 17:56:00.134546,36.0,24.13,100
2024-08-25 17:56:00.336805,36.0,24.15,100
2024-08-25 17:56:00.538956,36.0,24.25,100
2024-08-25 17:56:00.739514,36.0,24.23,100
2024-08-25 17:56:00.944545,36.0,24.25,100
2024-08-25 17:56:01.142071,36.0,24.3,100
2024-08-25 17:56:01.346004,36.0,24.36,100
2024-08-25 17:56:01.571153,36.0,24.36,100
2024-08-25 17:56:01.774134,36.0,24.36,100
2024-08-25 17:56:01.973276,36.0,24.36,100
2024-08-25 17:56:02.200140,36.0,24.42,100
2024-08-25 17:56:02.404044,36.0,24.46,100
2024-08-25 17:56:02.608159,36.0,24.47,100
2024-08-25 17:56:02.812583,36.0,24.48,100
2024-08-25 17:56:03.033098,36.0,24.48,100
2024-08-25 17:56:03.234931,36.0,24.48,100
2024-08-25 17:56:03.438252,36.0,24.48,100
2024-08-25 17:56:03.668151,36.0,24.48,100
2024-08-25 17:56:03.873061,36.0,24.48,100
2024-08-25 17:56:04.071596,36.0,24.48,100
2024-08-25 17:56:04.301061,36.0,24.5,100
2024-08-25 17:56:04.503278,36.0,24.59,100
2024-08-25 17:56:04.704565,36.0,24.59,100
2024-08-25 17:56:04.907667,36.0,24.59,100
2024-08-25 17:56:05.130707,36.0,24.59,100
